Age,BusinessTravel,MonthlyIncome,JobSatisfaction,Bonus,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobLevel,JobRole,MaritalStatus,PerformanceRating,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,OverTime,Attrition
41,Travel_Rarely,5993,4,17979,Sales,1,2,Life Sciences,1,1,2,Female,2,Sales Executive,Single,3,0,0,1,6,0,Yes,Yes
49,Travel_Frequently,5130,2,20520,Research & Development,8,1,Life Sciences,1,2,3,Male,2,Research Scientist,Married,4,1,3,3,10,1,No,No
37,Travel_Rarely,2090,3,6270,Research & Development,2,2,Other,1,4,4,Male,1,Laboratory Technician,Single,3,0,3,3,0,0,Yes,Yes
33,Travel_Frequently,2909,3,8727,Research & Development,3,4,Life Sciences,1,5,4,Female,1,Research Scientist,Married,3,0,3,3,8,3,Yes,No
27,Travel_Rarely,3468,2,10404,Research & Development,2,1,Medical,1,7,1,Male,1,Laboratory Technician,Married,3,1,3,3,2,2,No,No
32,Travel_Frequently,3068,4,9204,Research & Development,2,2,Life Sciences,1,8,4,Male,1,Laboratory Technician,Single,3,0,2,2,7,3,No,No
59,Travel_Rarely,2670,1,10680,Research & Development,3,3,Medical,1,10,3,Female,1,Laboratory Technician,Married,4,3,3,2,1,0,Yes,No
30,Travel_Rarely,2693,3,10772,Research & Development,24,1,Life Sciences,1,11,4,Male,1,Laboratory Technician,Divorced,4,1,2,3,1,0,No,No
38,Travel_Frequently,9526,3,38104,Research & Development,23,3,Life Sciences,1,12,4,Male,3,Manufacturing Director,Single,4,0,2,3,9,1,No,No
36,Travel_Rarely,5237,3,15711,Research & Development,27,3,Medical,1,13,3,Male,2,Healthcare Representative,Married,3,2,3,2,7,7,No,No
35,Travel_Rarely,2426,2,7278,Research & Development,16,3,Medical,1,14,1,Male,1,Laboratory Technician,Married,3,1,5,3,5,0,No,No
29,Travel_Rarely,4193,3,12579,Research & Development,15,2,Life Sciences,1,15,4,Female,2,Laboratory Technician,Single,3,0,3,3,9,0,Yes,No
31,Travel_Rarely,2911,3,8733,Research & Development,26,1,Life Sciences,1,16,1,Male,1,Research Scientist,Divorced,3,1,1,2,5,4,No,No
